æ‡¿Î,«ø∂»
9.788000107,63
9.812000275,64
9.81000042,63
9.82199955,63
9.819999695,62
9.840000153,64
9.850000381,62
9.859999657,63
9.868000031,63
9.881999969,63
9.890000343,63
9.894000053,62
9.911999702,63
9.916000366,63
9.947999954,65
9.951999664,62
9.946000099,63
9.954000473,62
9.968000412,63
9.982000351,62
9.987999916,63
10,62
10.01000023,62
10.02799988,61
10.04800034,62
10.0539999,62
10.06400013,62
10.07800007,61
10.09599972,62
10.10599995,61
10.11200047,62
10.1260004,61
10.14599991,62
10.13399982,62
10.14999962,61
10.17599964,60
10.18999958,60
10.20600033,62
10.20600033,61
10.22399998,61
10.23999977,62
10.25,61
10.26599979,60
10.28999996,62
10.29399967,62
10.30200005,61
10.32600021,60
10.34399986,61
10.34000015,59
10.35000038,56
10.34000015,50
10.32999992,41
10.31400013,24
10.25800037,0
10.30599976,0
inf,0
inf,0
inf,0
10.47000027,32
10.51200008,51
10.54599953,58
10.56599998,60
10.56400013,59
10.59599972,60
10.60599995,60
10.63199997,60
10.6619997,117
inf,0
inf,0
4.368000031,73
4.335999966,77
4.309999943,76
4.291999817,76
4.268000126,76
4.248000145,76
4.231999874,76
4.203999996,75
4.176000118,77
4.145999908,76
4.145999908,78
4.118000031,78
4.090000153,76
4.073999882,77
4.059999943,78
4.038000107,77
4.010000229,78
3.987999916,78
3.960000038,77
3.950000048,77
3.930000067,78
3.898000002,77
3.904000044,79
3.885999918,79
3.854000092,79
3.844000101,78
3.828000069,79
3.802000046,77
3.802000046,81
3.767999887,78
3.752000093,80
3.726000071,78
3.710000038,79
3.696000099,80
3.677999973,80
3.667999983,80
3.650000095,79
3.635999918,80
3.615999937,81
3.604000092,80
3.592000008,82
3.568000078,81
3.546000004,80
3.546000004,81
3.532000065,81
3.517999887,80
3.512000084,80
3.483999968,80
3.467999935,81
3.463999987,80
3.463999987,81
3.440000057,81
3.424000025,80
3.405999899,81
3.411999941,81
3.385999918,82
3.35800004,81
3.368000031,82
3.351999998,82
3.322000027,82
3.319999933,81
3.315999985,81
3.302000046,79
3.273999929,77
3.257999897,76
3.256000042,76
3.253999949,78
3.236000061,82
3.227999926,84
3.213999987,84
3.211999893,82
3.184000015,84
3.184000015,81
3.167999983,82
3.165999889,82
3.15199995,83
3.148000002,83
3.135999918,83
3.099999905,82
3.104000092,83
3.085999966,83
3.094000101,83
3.092000008,83
3.055999994,84
3.063999891,85
3.048000097,84
3.036000013,84
3.019999981,84
3.017999887,84
3.022000074,85
