angle,distance,intensity
5.094,1.44599998,98
5.27,1.450000048,98
5.446,1.452000022,97
5.622,1.450000048,99
5.798,1.450000048,98
5.974,1.444000006,99
6.15,1.450000048,98
6.326,1.444000006,99
6.502,1.452000022,99
6.678,1.457999945,98
6.854,1.437999964,99
7.03,1.465999961,98
7.206,1.442000031,101
7.382,1.457999945,99
7.558,1.460000038,98
7.734,1.460000038,98
7.91,1.463999987,98
8.086,1.457999945,98
8.262,1.450000048,97
8.438,1.450000048,99
8.614,1.457999945,98
8.79,1.457999945,99
8.966,1.460000038,98
9.142,1.460000038,98
9.318,1.444000006,98
9.494,1.453999996,100
9.67,1.460000038,97
9.846,1.450000048,97
10.022,1.463999987,98
10.198,1.450000048,98
10.374,1.460000038,98
10.55,1.463999987,99
10.726,1.463999987,98
10.902,1.463999987,98
11.078,1.462000012,100
11.254,1.457999945,98
11.43,1.463999987,99
11.606,1.472000003,100
11.782,1.473999977,100
11.958,1.465999961,98
12.134,1.462000012,97
12.31,1.472000003,99
12.486,1.485999942,98
12.662,1.472000003,99
12.838,1.480000019,99
13.014,1.475999951,98
13.19,1.478000045,97
13.366,1.465999961,96
13.542,1.488000035,98
13.718,1.472000003,99
13.894,1.480000019,99
14.07,1.488000035,98
14.246,1.488000035,99
14.422,1.49000001,99
14.598,1.49000001,99
14.774,1.485999942,98
14.95,1.485999942,98
15.126,1.485999942,99
15.302,1.491999984,98
15.478,1.481999993,97
15.654,1.49000001,99
15.83,1.496000051,97
16.006,1.503999949,98
16.182,1.493999958,98
16.358,1.50999999,98
16.534,1.50999999,101
16.71,1.488000035,98
16.886,1.496000051,98
17.062,1.508000016,98
17.238,1.50999999,98
17.414,1.493999958,100
17.59,1.508000016,99
17.766,1.511999965,98
17.942,1.516000032,100
18.118,1.514000058,97
18.294,1.516000032,99
18.47,1.508000016,97
18.646,1.514000058,100
18.822,1.524000049,99
18.998,1.516000032,97
19.174,1.508000016,98
19.35,1.521999955,98
19.526,1.524000049,98
19.702,1.516000032,98
19.878,1.527999997,99
20.054,1.527999997,99
20.23,1.537999988,98
20.406,1.537999988,97
20.582,1.521999955,98
20.758,1.521999955,98
20.934,1.54400003,98
21.11,1.546000004,98
21.286,1.537999988,97
21.462,1.527999997,99
21.638,1.546000004,98
21.814,1.54400003,98
21.99,1.54400003,98
22.166,1.539999962,99
22.342,1.54400003,97
22.518,1.54400003,99
22.694,1.549999952,98
22.87,1.565999985,99
23.046,1.54400003,98
23.222,1.56400001,98
23.398,1.56400001,98
23.574,1.56400001,96
23.75,1.570000052,97
23.926,1.570000052,100
24.102,1.567999959,99
24.278,1.570000052,98
24.454,1.570000052,98
24.63,1.575999975,96
24.806,1.575999975,97
24.982,1.577999949,97
25.158,1.575999975,98
25.334,1.588000059,96
25.51,1.583999991,99
25.686,1.59800005,98
25.862,1.592000008,97
26.038,1.593999982,98
26.214,1.600000024,98
26.39,1.595999956,97
26.566,1.600000024,97
26.742,1.605999947,97
26.918,1.60800004,97
27.094,1.613999963,98
27.27,1.611999989,98
27.446,1.605999947,97
27.622,1.603999972,97
27.798,1.620000005,98
27.974,1.620000005,96
28.15,1.618000031,98
28.326,1.633999944,98
28.502,1.620000005,97
28.678,1.628000021,97
28.854,1.618000031,98
29.03,1.638000011,96
29.206,1.648000002,96
29.382,1.631999969,96
29.558,1.646000028,96
29.734,1.648000002,98
29.91,1.654000044,96
30.086,1.656000018,97
30.262,1.661999941,97
30.438,1.654000044,96
30.614,1.664000034,96
30.79,1.654000044,96
30.966,1.675999999,95
31.142,1.667999983,97
31.318,1.677999973,98
31.494,1.661999941,96
31.67,1.675999999,96
31.846,1.684000015,96
32.022,1.694000006,95
32.198,1.679999948,97
32.374,1.69599998,97
32.55,1.694000006,96
32.726,1.703999996,96
32.902,1.692000031,96
33.078,1.707999945,95
33.254,1.703999996,96
33.43,1.713999987,96
33.606,1.715999961,96
33.782,1.720000029,95
33.958,1.720000029,95
34.134,1.712000012,95
34.31,1.720000029,95
34.486,1.735999942,95
34.662,1.738000035,95
34.838,1.733999968,96
35.014,1.741999984,96
35.19,1.74000001,97
35.366,1.741999984,96
35.542,1.748000026,95
35.718,1.74000001,96
35.894,1.769999981,96
36.07,1.771999955,98
36.246,1.776000023,95
36.422,1.776000023,95
36.598,1.769999981,95
36.774,1.786000013,95
36.95,1.789999962,95
37.126,1.787999988,94
37.302,1.789999962,98
37.478,1.797999978,96
37.654,1.797999978,95
37.83,1.80400002,95
38.006,1.809999943,95
38.182,1.820000052,93
38.358,1.827999949,94
38.534,1.81400001,95
38.71,1.825999975,95
38.886,1.830000043,94
39.062,1.835999966,95
39.238,1.84800005,96
39.414,1.845999956,95
39.59,1.861999989,95
39.766,1.840000033,94
